type,date,description, income , expense , balance 
income,2025.01.01,월급," 6,000,000 ",," 6,000,000 "
expense,2025.01.02,(주)비브로스,," 1,100 "," 5,998,900 "
expense,2025.01.02,중앙약국,," 4,000 "," 5,994,900 "
expense,2025.01.02,백나예김밥,," 4,000 "," 5,990,900 "
expense,2025.01.02,지에스(GS)25 ,," 6,500 "," 5,984,400 "
expense,2025.01.03,백나예김밥,," 9,000 "," 5,975,400 "
expense,2025.01.03,지에스(GS)25 ,," 1,800 "," 5,973,600 "
expense,2025.01.03,윤선  B.  A.  T  (비에이,," 154,000 "," 5,819,600 "
expense,2025.01.03,티머니 개인택시_0,," 6,100 "," 5,813,500 "
expense,2025.01.03,이동의즐거움_택시_8,," 6,500 "," 5,807,000 "
expense,2025.01.03,세광자동차정비공업사,," 250,000 "," 5,557,000 "
expense,2025.01.03,컬리페이_컬리,," 109,670 "," 5,447,330 "
expense,2025.01.03,쿠팡,," 15,700 "," 5,431,630 "
expense,2025.01.04,메디365플러스의원,," 43,600 "," 5,388,030 "
expense,2025.01.04,메디팜약국,," 8,300 "," 5,379,730 "
expense,2025.01.04,아이파킹 주식회사,," 5,000 "," 5,374,730 "
expense,2025.01.05,쿠팡,," 14,500 "," 5,360,230 "
expense,2025.01.06,백나예김밥,," 5,000 "," 5,355,230 "
expense,2025.01.06,지에스(GS)25 ,, 950 ," 5,354,280 "
expense,2025.01.06,구글페이먼트코리아 유한회사,," 14,900 "," 5,339,380 "
expense,2025.01.06,컬리페이_컬리,," 88,155 "," 5,251,225 "
expense,2025.01.07,조은이웃연세아주소아청소년과,," 288,100 "," 4,963,125 "
expense,2025.01.07,조은이화약국,," 3,800 "," 4,959,325 "
expense,2025.01.07,쿠팡,," 16,700 "," 4,942,625 "
expense,2025.01.07,컬리페이_컬리,," 57,395 "," 4,885,230 "
expense,2025.01.07,지에스더프레시 ,," 19,650 "," 4,865,580 "
expense,2025.01.08,쿠팡,," 15,900 "," 4,849,680 "
expense,2025.01.08,쿠팡,," 42,000 "," 4,807,680 "
expense,2025.01.08,지에스(GS)25 ,, 500 ," 4,807,180 "
expense,2025.01.09,주식회사 아성다이소,," 6,000 "," 4,801,180 "
expense,2025.01.09,고기백화점,," 9,600 "," 4,791,580 "
expense,2025.01.09,고봉민김밥,," 96,000 "," 4,695,580 "
expense,2025.01.09,지에스더프레시 ,," 28,760 "," 4,666,820 "
expense,2025.01.09,(주)뉴코아,," 58,000 "," 4,608,820 "
expense,2025.01.09,(주)뉴코아,," 22,800 "," 4,586,020 "
expense,2025.01.09,(주)뉴코아엘르,," 10,000 "," 4,576,020 "
