type,date,description,income,expense,balance,Unnamed: 6
income,2025.01.01,월급,6000000,0,6000000,
expense,2025.01.02,(주)비브로스,0,1100,5998900,
expense,2025.01.02,중앙약국,0,4000,5994900,
expense,2025.01.02,백나예김밥,0,4000,5990900,
expense,2025.01.02,지에스(GS)25 ,0,6500,5984400,
expense,2025.01.03,백나예김밥,0,9000,5975400,
expense,2025.01.03,지에스(GS)25 ,0,1800,5973600,
expense,2025.01.03,윤선  B.  A.  T  (비에이,0,154000,5819600,
expense,2025.01.03,티머니 개인택시_0,0,6100,5813500,
expense,2025.01.03,이동의즐거움_택시_8,0,6500,5807000,
expense,2025.01.03,세광자동차정비공업사,0,250000,5557000,
expense,2025.01.03,컬리페이_컬리,0,109670,5447330,
expense,2025.01.03,쿠팡,0,15700,5431630,
expense,2025.01.04,메디365플러스의원,0,43600,5388030,
expense,2025.01.04,메디팜약국,0,8300,5379730,
expense,2025.01.04,아이파킹 주식회사,0,5000,5374730,
expense,2025.01.05,쿠팡,0,14500,5360230,
expense,2025.01.06,백나예김밥,0,5000,5355230,
expense,2025.01.06,지에스(GS)25 ,0,950,5354280,
expense,2025.01.06,구글페이먼트코리아 유한회사,0,14900,5339380,
expense,2025.01.06,컬리페이_컬리,0,88155,5251225,
expense,2025.01.07,조은이웃연세아주소아청소년과,0,288100,4963125,
expense,2025.01.07,조은이화약국,0,3800,4959325,
expense,2025.01.07,쿠팡,0,16700,4942625,
expense,2025.01.07,컬리페이_컬리,0,57395,4885230,
expense,2025.01.07,지에스더프레시 ,0,19650,4865580,
expense,2025.01.08,쿠팡,0,15900,4849680,
expense,2025.01.08,쿠팡,0,42000,4807680,
expense,2025.01.08,지에스(GS)25 ,0,500,4807180,
expense,2025.01.09,주식회사 아성다이소,0,6000,4801180,
expense,2025.01.09,고기백화점,0,9600,4791580,
expense,2025.01.09,고봉민김밥,0,96000,4695580,
expense,2025.01.09,지에스더프레시 ,0,28760,4666820,
expense,2025.01.09,(주)뉴코아,0,58000,4608820,
expense,2025.01.09,(주)뉴코아,0,22800,4586020,
expense,2025.01.09,(주)뉴코아엘르,0,10000,4576020,
expense,2025.01.09,(주)뉴코아엘레강스,0,69000,4507020,
expense,2025.01.09,(주)뉴코아공산식품,0,7780,4499240,
expense,2025.01.10,쿠팡,0,25970,4473270,
expense,2025.01.10,주식회사 아성다이소,0,8500,4464770,
expense,2025.01.10,고기백화점,0,16500,4448270,
expense,2025.01.10,지에스더프레시 ,0,47820,4400450,
expense,2025.01.11,삼성화재해상보험(주)-앱카드용,0,16760,4383690,
expense,2025.01.11,쿠팡,0,25500,4358190,
expense,2025.01.11,쿠팡,0,48600,4309590,
expense,2025.01.12,고기백화점,0,30500,4279090,
expense,2025.01.12,컬리페이_컬리,0,84180,4194910,
expense,2025.01.13,통신료 12월 - 334658,0,17670,4177240,
expense,2025.01.13,통신료 12월 - 204658,0,63000,4114240,
expense,2025.01.13,(주) 아트박스,0,76900,4037340,
expense,2025.01.14,지에스더프레시 ,0,35120,4002220,
expense,2025.01.15,네트웍스(주)워커힐인천공항,0,21447,3980773,
expense,2025.01.15,네트웍스(주)워커힐인천공항,0,34000,3946773,
expense,2025.01.15,던킨도너츠 인천공항1호,0,2500,3944273,
expense,2025.01.18,인천국제공항공사,0,36000,3908273,
expense,2025.01.18,지에스(GS)25 ,0,8800,3899473,
expense,2025.01.19,지에스(GS)25 ,0,4400,3895073,
expense,2025.01.20,지에스더프레시 ,0,61670,3833403,
expense,2025.01.21,바로알림서비스 01월이용료,0,300,3833103,
expense,2025.01.21,아파트관리비_12월,0,237240,3595863,
expense,2025.01.21,다이소,0,5000,3590863,
expense,2025.01.21,동양주차장,0,2000,3588863,
expense,2025.01.21,지에스더프레시 ,0,46380,3542483,
expense,2025.01.21,쿠팡,0,13000,3529483,
expense,2025.01.22,동우공영(주),0,3500,3525983,
expense,2025.01.22,주식회사 놀유니버스,0,456637,3069346,
expense,2025.01.22,백억커피,0,4900,3064446,
expense,2025.01.22,지에스더프레시 ,0,32340,3032106,
expense,2025.01.23,주식회사 아성다이소,0,4000,3028106,
expense,2025.01.23,고기백화점,0,25200,3002906,
expense,2025.01.23,푸른약국,0,3000,2999906,
expense,2025.01.23,컬리페이_컬리,0,130000,2869906,
expense,2025.01.23,쿠팡,0,37000,2832906,
expense,2025.01.23,네이버페이 네이버,0,50000,2782906,
expense,2025.01.24,주식회사 스타필드하남,0,56000,2726906,
expense,2025.01.24,주식회사 스타필드하남,0,4500,2722406,
expense,2025.01.24,주식회사 스타필드하남,0,8400,2714006,
expense,2025.01.24,이마트24 스타필드하남2호점,0,1200,2712806,
expense,2025.01.25,네이버페이 네이버클라우드 주식,0,55000,2657806,
expense,2025.01.25,(주)뉴코아,0,123000,2534806,
expense,2025.01.25,(주)뉴코아,0,25900,2508906,
expense,2025.01.25,(주)뉴코아모던  특,0,34500,2474406,
expense,2025.01.25,지에스(GS)25,0,5900,2468506,
expense,2025.01.25,온담마켓,0,8500,2460006,
expense,2025.01.25,지에스더프레시 ,0,80290,2379716,
expense,2025.01.26,메가스터디교육(주),0,113900,2265816,
expense,2025.01.28,게이트뱅크 주식회사,0,2000,2263816,
expense,2025.01.28,세인트존스호텔,0,62000,2201816,
expense,2025.01.28,세븐일레븐강릉세인트존스점,0,15800,2186016,
expense,2025.01.29,쿠팡(와우 멤버십),0,7890,2178126,
